date,open,high,low,close,C-O,volume,SMA7,profit or not
"25,04,2022",160.6613,162.7054,158.0088,162.4162,1.7549,95355796,164.6840571,0
"26,04,2022",161.788,161.8778,156.2738,156.3536,-5.4344,94023694,163.4746571,1
"27,04,2022",155.4661,159.335,154.9376,156.1242,0.6581,87210886,162.2638286,0
"28,04,2022",158.7966,164.0466,158.4775,163.1741,4.3775,115108073,161.7282143,0
"29,04,2022",161.3792,165.7268,156.8023,157.2011,-4.1781,131145395,160.3635286,1
"2,5,2022",156.2638,157.7795,152.8336,157.5102,1.2464,122369159,159.1583857,0
"3,5,2022",157.6997,160.2524,155.8749,159.0259,1.3262,88721066,158.8293286,0
"4,5,2022",159.2154,166.006,158.8065,165.5473,6.3319,107774959,159.2766286,0
"5,5,2022",163.3835,163.6128,154.5088,156.3236,-7.0599,129696442,159.2723429,1
"6,5,2022",155.7933,159.2185,153.9658,157.0615,1.2682,115897949,159.4062429,0
"9,5,2022",154.7098,155.6135,151.2796,151.8488,-2.861,130291378,157.7883429,1
"10,5,2022",155.304,156.5223,152.7176,154.2954,-1.0086,114750399,157.3732429,1
"11,5,2022",153.2868,155.2341,145.6075,146.2965,-6.9903,141297226,155.7712857,1
"12,5,2022",142.5717,145.9969,138.6072,142.362,-0.2097,182304202,153.3907286,1
"13,05,2022",144.3892,147.8993,142.9112,146.9057,2.5165,113127950,150.7276429,0
"16,05,2022",145.3478,147.315,143.9797,145.3378,-0.01,85562821,149.1582429,1
"17,05,2022",148.6532,149.562,146.4763,149.0327,0.3795,76165406,148.0112714,0
"18,05,2022",146.646,147.1554,139.7057,140.6244,-6.0216,108921523,146.4077857,1
"19,05,2022",139.6857,141.4632,136.4103,137.1592,-2.5265,135333187,143.9597571,1
"20,05,2022",138.8968,140.5046,132.4258,137.3989,-1.4979,135716107,142.6886714,1
"23,05,2022",137.5986,143.061,137.4588,142.9112,5.3126,115753806,142.7671286,0
"24,05,2022",140.6094,141.7728,137.1392,140.165,-0.4444,103551905,141.8041714,1
"25,05,2022",138.2377,141.5881,138.1478,140.3248,2.0871,91841653,141.0880286,0
"26,05,2022",137.1992,144.1395,136.9495,143.5803,6.3811,90053257,140.3091143,0
"27,05,2022",145.188,149.4721,145.0582,149.4321,4.2441,90978503,141.5673571,0
"31,05,2022",148.8629,150.4507,146.636,148.6333,-0.2296,103318020,143.2065143,1
"1,6,2022",149.6918,151.5292,147.4749,148.5034,-1.1884,74046038,144.7928714,1
"2,6,2022",147.6247,151.0599,146.656,151,3.3753,72095989,145.9484143,0
"3,6,2022",146.6959,147.7645,144.2593,145.1781,-1.5178,87217120,146.6645714,1
"6,6,2022",146.8258,148.3625,144.6987,145.937,-0.8888,71001995,147.4663143,1
"7,6,2022",144.1445,148.793,143.8998,148.5034,4.3589,67125547,148.1696143,0
"8,6,2022",148.3736,149.6615,147.2552,147.7545,-0.6191,53952730,147.9299571,1
"9,6,2022",146.8757,147.7445,142.332,142.4419,-4.4338,68687994,147.0454714,1
"10,6,2022",140.0851,140.5645,136.8696,136.9395,-3.1456,91161833,145.3934857,1
"13,06,2022",132.6854,135.0122,131.2574,131.6968,-0.9886,121222219,142.6358857,1
"14,06,2022",132.9451,133.704,131.2974,132.5756,-0.3695,83890976,140.8355286,1
"15,06,2022",134.1035,137.1492,131.9764,135.2419,1.1384,90901892,139.3076571,0
"16,06,2022",131.8965,132.2061,128.8608,129.8793,-2.0172,107524908,136.6470714,1
"17,06,2022",129.8843,132.8941,129.6297,131.3773,1.493,134520290,134.3074714,0
"21,06,2022",133.2347,136.8696,133.1348,135.6813,2.4466,80754096,133.3416714,0
"22,06,2022",134.6028,137.5686,133.724,135.162,0.5592,70722581,133.0877429,0
"23,06,2022",136.6299,138.3975,135.4416,138.0779,1.448,70048235,133.9993286,0
"24,06,2022",139.7057,141.7129,139.5759,141.4632,1.7575,82839446,135.2689857,0
"27,06,2022",142.4968,143.2907,140.7692,141.4632,-1.0336,63642792,136.1577429,1
"28,06,2022",141.9326,143.2228,137.1342,137.2491,-4.6835,66752851,137.2105714,1
"29,06,2022",137.2691,140.4746,136.4802,139.0366,1.7675,66074990,138.3047571,0
"30,06,2022",137.0594,138.1778,133.5879,136.5301,-0.5293,98625792,138.4260143,1
"1,7,2022",135.851,138.8469,135.4716,138.737,2.886,71051552,138.9367286,0
"5,7,2022",137.5786,141.4133,136.7398,141.3634,3.7848,70944743,139.4060857,0
"6,7,2022",141.1586,143.9198,140.884,142.7215,1.5629,73550171,139.5858429,0
"7,7,2022",143.091,146.3464,143.081,146.1467,3.0557,65730476,140.2549143,0
"8,7,2022",145.0632,147.345,144.7986,146.8358,1.7726,64301229,141.6244429,0
"11,7,2022",145.4677,146.4363,143.5803,144.6688,-0.7989,60113259,142.4290429,1
"12,7,2022",145.5575,148.2438,144.8485,145.6574,0.0999,77383561,143.7329429,0
"13,07,2022",142.7914,146.2466,141.9227,145.2879,2.4965,70967304,144.6687857,0
"14,07,2022",143.8799,148.7431,143.051,148.2638,4.3839,77644513,145.6545571,0
"15,07,2022",149.5719,150.6504,147.9941,149.9614,0.3895,76102959,146.6888286,0
"18,07,2022",150.5306,151.3595,146.4962,146.8657,-3.6649,80974290,146.7915429,1
"19,07,2022",147.7145,151.0199,146.7059,150.7903,3.0758,82290549,147.3564714,0
"20,07,2022",150.9101,153.5065,150.1611,152.8274,1.9173,64605671,148.5219857,0
"21,07,2022",154.2854,155.3539,151.7289,155.1342,0.8488,64467893,149.8758143,0
"22,07,2022",155.1742,156.0629,153.1969,153.876,-1.2982,66408897,151.1026857,1
"25,07,2022",153.7961,154.8246,152.0685,152.7375,-1.0586,53623945,151.7417857,1
"26,07,2022",152.0535,152.8724,150.5905,151.3894,-0.6641,53964894,151.9457857,1
"27,07,2022",152.3681,157.1115,151.9486,156.5722,4.2041,78093938,153.3324286,0
"28,07,2022",156.7619,157.421,154.1955,157.1314,0.3695,69665464,154.2383,0
"29,07,2022",161.016,163.4027,159.2784,162.2843,1.2683,100898879,155.5892857,0
"1,8,2022",160.7863,163.3628,160.6665,161.2857,0.4994,64516062,156.4680714,0
"2,8,2022",159.8776,162.1844,159.4083,159.7877,-0.0899,58686282,157.3126,1
"3,8,2022",160.6166,166.3586,160.5267,165.8992,5.2826,82314204,159.1928429,0
"4,8,2022",165.7744,166.9578,164.2016,165.5797,-0.1947,55242231,161.2200286,1
"5,8,2022",163.21,165.85,163,165.35,2.14,56512825,162.474,0
"8,8,2022",166.37,167.81,164.2,164.87,-1.5,60065759,163.5795143,1
"9,8,2022",164.02,165.82,163.25,164.92,0.9,62421296,163.9560429,0
"10,8,2022",167.68,169.34,166.9,169.24,1.56,69791404,165.0923714,0
"11,8,2022",170.06,170.99,168.19,168.49,-1.57,56208903,166.3355571,1
"12,8,2022",169.82,172.17,169.4,172.1,2.28,67540795,167.2213857,0
"15,08,2022",171.52,173.39,171.345,173.19,1.67,53869717,168.3085714,0
"16,08,2022",172.78,173.71,171.6618,173.03,0.25,55468530,169.4057143,0
"17,08,2022",172.77,176.15,172.57,174.55,1.78,78023216,170.7885714,0
"18,08,2022",173.75,174.9,173.12,174.15,0.4,61591622,172.1071429,0
"19,08,2022",173.03,173.74,171.3101,171.52,-1.51,69409796,172.4328571,1
"22,08,2022",169.69,169.86,167.135,167.57,-2.12,67755486,172.3014286,1
